Maufacturer,Manufacturer part number,Digi-Key part number,Quantity,Customer Reference
Yageo,RC0603JR-07470RL,311-270GRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-071KL,311-560GRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-0710KL,311-5.6KGRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-0712KL,311-6.8KGRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-0715KL,311-8.2KGRCT-ND,15,Yusynth VCA
Yageo,RC0603JR-0722KL,311-12KGRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-0733KL,311-18KGRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-0768KL,311-39KGRCT-ND,10,Yusynth VCA
Yageo,RC0603JR-07100KL,311-56KGRCT-ND,40,Yusynth VCA
Yageo,RC0603JR-07470KL,311-270KGRCT-ND,10,Yusynth VCA
Yageo,CC0603KRX7R9BB104,311-1344-1-ND,35,Yusynth VCA
Murata,GRM21BR6YA106KE43L,490-10514-1-ND,10,Yusynth VCA
Wurth Electronics Inc.,865080442004,732-8432-1-ND,10,Yusynth VCA
SMC Diode Solutions,1N4148WTR,1655-1360-1-ND,5,Yusynth VCA
Diodes Inc.,DMMT3904W-7-F,DMMT3904W-FDICT-ND,5,Yusynth VCA
ON Semi,BC547CTA,BC547CTACT-ND,5,Yusynth VCA
ON Semi,MMBT3904LT1G,MMBT3904LT1GOSCT-ND,5,Yusynth VCA
TI,TL072CDR,296-1282-1-ND,5,Yusynth VCA
TI,UA741CDR,296-15051-1-ND,5,Yusynth VCA
Molex,22-23-2021,WM4200-ND,35,Yusynth VCA
S6B-EH(LF)(SN),S6B-EH(LF)(SN),455-1629-ND,5,Yusynth VCA
Molex,22232031,WM4201-ND,15,Yusynth VCA
Rohm Semiconductor,KTR25JZPF2202?,?RHM1094CT-ND?,20,Nixie
Rohm Semiconductor,?KTR25JZPF2702?,RHM1106CT-ND?,14,Nixie
